Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Light;Magnetic_x;Magnetic_y;Magnetic_z;Proximity;Latitude;Longitude;Elevation;Speed
20211011_185155.0;-0.162;-0.266;9.731;-0.017;-0.015;0.002;182.0;-31.950;5.513;-60.881;5.0;-32.88117;-60.69655;47.9;31.9
20211011_185155.5;-0.372;-0.391;10.014;0.023;-0.004;-0.006;182.0;-32.963;6.000;-58.388;5.0;-32.88125;-60.69653;45.0;34.7
20211011_185156.0;-0.377;-0.767;8.847;-0.025;-0.053;-0.009;182.0;-32.644;4.744;-60.563;5.0;-32.88125;-60.69653;45.0;34.7
20211011_185156.5;-0.612;-0.069;10.285;-0.030;0.031;-0.003;182.0;-32.906;4.106;-61.013;5.0;-32.88134;-60.69649;45.5;36.1
20211011_185157.0;0.327;-0.259;9.837;-0.014;0.027;-0.000;204.2;-31.519;5.663;-59.194;5.0;-32.88134;-60.69649;45.5;36.1
20211011_185157.5;0.073;-0.134;9.774;-0.036;-0.024;-0.013;204.2;-32.231;5.213;-60.263;5.0;-32.88143;-60.69646;46.0;37.5
20211011_185158.0;-0.303;-0.300;9.904;-0.061;-0.010;-0.001;227.5;-33.375;5.063;-59.756;5.0;-32.88143;-60.69646;46.0;37.5
20211011_185158.5;-0.696;-0.489;9.382;-0.070;-0.029;-0.009;227.5;-31.556;6.769;-59.194;5.0;-32.88152;-60.69644;43.6;39.3
20211011_185159.0;-0.998;-0.554;10.455;0.029;-0.018;0.009;227.5;-32.644;5.063;-60.563;5.0;-32.88152;-60.69644;43.6;39.3
20211011_185159.5;-0.004;-0.760;8.900;-0.079;-0.014;0.009;253.0;-32.625;4.256;-58.538;5.0;-32.88162;-60.69641;44.4;41.4
20211011_185200.0;-1.307;-0.546;9.389;0.008;-0.052;0.000;253.0;-32.513;5.213;-60.244;5.0;-32.88172;-60.69637;44.1;42.6
20211011_185200.5;-0.609;-0.338;9.504;-0.034;0.034;-0.005;253.0;-35.156;2.719;-58.950;5.0;-32.88172;-60.69637;44.1;42.6
20211011_185201.0;-0.470;-0.736;10.016;-0.023;-0.004;0.001;253.0;-32.888;3.319;-59.925;5.0;-32.88183;-60.69634;43.5;42.5
20211011_185201.5;-1.170;-0.305;11.574;-0.010;-0.028;-0.022;253.0;-33.113;5.850;-61.950;5.0;-32.88183;-60.69634;43.5;42.5
20211011_185202.0;0.054;-0.103;9.674;0.002;0.042;0.026;253.0;-31.800;5.663;-60.263;5.0;-32.88193;-60.69630;43.8;44.1
20211011_185202.5;-0.739;-0.640;8.510;-0.086;-0.033;-0.017;253.0;-32.625;4.256;-59.306;5.0;-32.88193;-60.69630;43.8;44.1
20211011_185203.0;-0.107;-0.321;9.085;-0.068;-0.011;-0.014;253.0;-33.113;5.850;-61.631;5.0;-32.88204;-60.69628;43.9;45.1
20211011_185203.5;-0.312;-0.479;9.487;-0.145;0.045;0.001;253.0;-31.163;3.450;-59.344;5.0;-32.88204;-60.69628;43.9;45.1
20211011_185204.0;-0.044;0.218;9.753;-0.054;-0.011;-0.020;253.0;-31.969;6.300;-61.969;5.0;-32.88216;-60.69625;44.9;45.6
20211011_185204.5;-0.482;-1.009;8.105;-0.070;0.038;-0.001;253.0;-32.231;5.213;-60.263;5.0;-32.88216;-60.69625;44.9;45.6
20211011_185205.0;-0.327;-0.894;9.346;-0.019;-0.045;-0.017;228.5;-30.919;4.706;-60.900;5.0;-32.88227;-60.69621;44.6;46.5
20211011_185205.5;0.226;-1.277;9.516;0.012;0.021;0.011;205.2;-32.213;4.894;-60.263;5.0;-32.88227;-60.69621;44.6;46.5
20211011_185206.0;-1.029;0.031;9.923;-0.058;0.007;0.020;205.2;-32.494;4.894;-59.944;5.0;-32.88238;-60.69619;45.4;46.8
20211011_185206.5;-0.549;-0.432;10.218;-0.099;-0.029;0.004;205.2;-31.969;6.300;-61.969;5.0;-32.88238;-60.69619;45.4;46.8
20211011_185207.0;-0.322;-0.432;10.275;-0.062;0.064;0.035;184.4;-32.231;5.213;-61.500;5.0;-32.88250;-60.69615;46.2;48.1
20211011_185207.5;-0.401;-0.069;8.354;-0.103;0.013;-0.002;165.4;-33.975;6.019;-60.994;5.0;-32.88250;-60.69615;46.2;48.1
20211011_185208.0;0.126;-0.446;7.957;0.023;0.019;0.015;165.4;-31.575;2.663;-60.113;5.0;-32.88262;-60.69612;46.0;49.0
20211011_185208.5;-0.324;-0.326;10.163;0.018;-0.030;-0.021;186.8;-33.319;3.488;-59.756;5.0;-32.88262;-60.69612;46.0;49.0
20211011_185209.0;0.433;-0.874;5.544;-0.132;0.023;0.004;208.7;-33.356;4.744;-60.844;5.0;-32.88274;-60.69608;46.3;49.4
20211011_185209.5;0.519;-1.250;10.035;0.002;0.086;0.009;233.3;-30.488;4.706;-60.600;5.0;-32.88274;-60.69608;46.3;49.4
